Rule	support	confidence
product46, product33 -> product17	3.2%	100.0%
product49, product13, product32 -> product37	3.1%	100.0%
product49, product13, product37 -> product32	3.1%	100.0%
product49, product32, product37 -> product13	3.1%	100.0%
product42, product24 -> product25	2.9%	100.0%
product25, product42, product41 -> product24	2.8%	100.0%
product25, product41, product24 -> product42	2.8%	100.0%
product42, product41, product24 -> product25	2.8%	100.0%
product38, product12, product46 -> product8	2.4%	100.0%
product38, product46, product8 -> product12	2.4%	100.0%
product12, product46, product8 -> product38	2.4%	100.0%
product25, product44, product41 -> product24	1.9%	100.0%
product25, product44, product24 -> product41	1.9%	100.0%
product44, product41, product24 -> product25	1.9%	100.0%
product25, product42, product44 -> product24	1.9%	100.0%
product25, product44, product24 -> product42	1.9%	100.0%
product42, product44, product24 -> product25	1.9%	100.0%
product42, product44, product41 -> product24	1.9%	100.0%
product42, product44, product24 -> product41	1.9%	100.0%
product44, product41, product24 -> product42	1.9%	100.0%
product25, product42, product44 -> product41	1.9%	100.0%
product25, product44, product41 -> product42	1.9%	100.0%
product42, product44, product41 -> product25	1.9%	100.0%
product25, product42, product44, product24 -> product41	1.9%	100.0%
product25, product44, product41, product24 -> product42	1.9%	100.0%
product42, product44, product41, product24 -> product25	1.9%	100.0%
product25, product42, product44, product41 -> product24	1.9%	100.0%
product25, product44, product24 -> product42, product41	1.9%	100.0%
product42, product44, product24 -> product25, product41	1.9%	100.0%
product44, product41, product24 -> product25, product42	1.9%	100.0%
product25, product42, product44 -> product41, product24	1.9%	100.0%
product25, product44, product41 -> product42, product24	1.9%	100.0%
product42, product44, product41 -> product25, product24	1.9%	100.0%
product48, product30 -> product18	1.8%	100.0%
product30, product18 -> product48	1.8%	100.0%
product13, product37 -> product32	4.0%	97.56%
product3, product47 -> product1	3.8%	97.44%
product36, product4 -> product19	3.8%	97.44%
product17, product46 -> product33	3.2%	96.97%
product25, product42 -> product24	2.9%	96.67%
product42, product41 -> product24	2.8%	96.55%
product42, product24 -> product41	2.8%	96.55%
product42, product41 -> product25	2.8%	96.55%
product25, product42, product24 -> product41	2.8%	96.55%
product42, product41 -> product25, product24	2.8%	96.55%
product42, product24 -> product25, product41	2.8%	96.55%
product38, product46 -> product8	2.4%	96.0%
product38, product46 -> product12	2.4%	96.0%
product38, product46 -> product12, product8	2.4%	96.0%
product50, product8 -> product16	2.3%	95.83%
product50, product16 -> product8	2.3%	95.83%
product32, product37 -> product13	4.0%	95.24%
product3, product1 -> product47	3.8%	95.0%
product25, product44 -> product24	1.9%	95.0%
product44, product24 -> product25	1.9%	95.0%
product44, product24 -> product41	1.9%	95.0%
product44, product24 -> product42	1.9%	95.0%
product25, product44 -> product41	1.9%	95.0%
product25, product44 -> product42	1.9%	95.0%
product25, product44 -> product41, product24	1.9%	95.0%
product44, product24 -> product25, product41	1.9%	95.0%
product25, product44 -> product42, product24	1.9%	95.0%
product44, product24 -> product25, product42	1.9%	95.0%
product44, product24 -> product42, product41	1.9%	95.0%
product25, product44 -> product42, product41	1.9%	95.0%
product44, product24 -> product25, product42, product41	1.9%	95.0%
product25, product44 -> product42, product41, product24	1.9%	95.0%
product49, product32 -> product13	3.1%	93.94%
product49, product37 -> product13	3.1%	93.94%
product49, product32 -> product37	3.1%	93.94%
product49, product37 -> product32	3.1%	93.94%
product49, product32 -> product13, product37	3.1%	93.94%
product49, product37 -> product13, product32	3.1%	93.94%
product25, product42 -> product41	2.8%	93.33%
product25, product42 -> product41, product24	2.8%	93.33%
product38, product12 -> product8	2.7%	93.1%
product19, product4 -> product36	3.8%	92.68%
product46, product8 -> product12	2.4%	92.31%
product46, product8 -> product38	2.4%	92.31%
product46, product8 -> product38, product12	2.4%	92.31%
product13, product32 -> product37	4.0%	90.91%
product44, product41 -> product24	1.9%	90.48%
product44, product41 -> product25	1.9%	90.48%
product44, product41 -> product42	1.9%	90.48%
product44, product41 -> product25, product24	1.9%	90.48%
product44, product41 -> product42, product24	1.9%	90.48%
product44, product41 -> product25, product42	1.9%	90.48%
product44, product41 -> product25, product42, product24	1.9%	90.48%
product25, product41 -> product24	2.8%	90.32%
product41, product24 -> product25	2.8%	90.32%
product41, product24 -> product42	2.8%	90.32%
product25, product41 -> product42	2.8%	90.32%
product25, product41 -> product42, product24	2.8%	90.32%
product41, product24 -> product25, product42	2.8%	90.32%
product38, product8 -> product12	2.7%	90.0%
product38, product12, product8 -> product46	2.4%	88.89%
product25, product24 -> product42	2.9%	87.88%
product49, product13 -> product32	3.1%	86.11%
product49, product13 -> product37	3.1%	86.11%
product49, product13 -> product32, product37	3.1%	86.11%
product29, product14 -> product28	0.6%	85.71%
product14, product28 -> product29	0.6%	85.71%
product25, product24 -> product41	2.8%	84.85%
product25, product24 -> product42, product41	2.8%	84.85%
product45, product20 -> product2	0.5%	83.33%
product34, product5 -> product10	0.5%	83.33%
product12, product46 -> product8	2.4%	82.76%
product38, product12 -> product46	2.4%	82.76%
product12, product46 -> product38	2.4%	82.76%
product38, product12 -> product46, product8	2.4%	82.76%
product12, product46 -> product38, product8	2.4%	82.76%
product36, product19 -> product4	3.8%	82.61%
product42, product44 -> product24	1.9%	82.61%
product42, product44 -> product25	1.9%	82.61%
product42, product44 -> product41	1.9%	82.61%
product42, product44 -> product25, product24	1.9%	82.61%
product42, product44 -> product41, product24	1.9%	82.61%
product42, product44 -> product25, product41	1.9%	82.61%
product42, product44 -> product25, product41, product24	1.9%	82.61%
product12, product8 -> product38	2.7%	81.82%
product1, product47 -> product3	3.8%	80.85%
product17, product33 -> product46	3.2%	80.0%
product38, product8 -> product46	2.4%	80.0%
product38, product8 -> product12, product46	2.4%	80.0%
product13, product32, product37 -> product49	3.1%	77.5%
product13, product37 -> product49	3.1%	75.61%
product13, product37 -> product49, product32	3.1%	75.61%
product8, product16 -> product50	2.3%	74.19%
product32, product37 -> product49	3.1%	73.81%
product32, product37 -> product49, product13	3.1%	73.81%
product12, product8 -> product46	2.4%	72.73%
product12, product8 -> product38, product46	2.4%	72.73%
product45, product2 -> product20	0.5%	71.43%
product13, product32 -> product49	3.1%	70.45%
product13, product32 -> product49, product37	3.1%	70.45%
product48, product18 -> product30	1.8%	69.23%
product25, product41, product24 -> product44	1.9%	67.86%
product42, product41, product24 -> product44	1.9%	67.86%
product25, product42, product41 -> product44	1.9%	67.86%
product25, product42, product41, product24 -> product44	1.9%	67.86%
product25, product41, product24 -> product42, product44	1.9%	67.86%
product42, product41, product24 -> product25, product44	1.9%	67.86%
